,genes,Approved symbol,all_symbols,Previous symbols,Alias symbols,cce_genes_symbols,symbol_updated,CCE_symbol,Hugo_symbol,Previous_symbol,pathway_genes_cce,pathway_genes_hugo,duplicated,Final_symbol
4478,CLDN15,CLDN15,"CLDN15, NA, NA",NA,NA,CLDN15,False,CLDN15,CLDN15,,CLDN15,CLDN15,False,CLDN15
4479,CLDN16,CLDN16,"CLDN16, NA, PCLN1, HOMG3",NA,"PCLN1, HOMG3",CLDN16,False,CLDN16,CLDN16,,CLDN16,CLDN16,False,CLDN16
4480,CLDN17,CLDN17,"CLDN17, NA, MGC126552, MGC126554",NA,"MGC126552, MGC126554",CLDN17,False,CLDN17,CLDN17,,CLDN17,CLDN17,False,CLDN17
4481,CLDN18,CLDN18,"CLDN18, SFTPJ, NA",SFTPJ,NA,CLDN18,False,CLDN18,CLDN18,,CLDN18,CLDN18,False,CLDN18
4483,CLDN19,CLDN19,"CLDN19, NA, NA",NA,NA,CLDN19,False,CLDN19,CLDN19,,CLDN19,CLDN19,False,CLDN19
4488,CLDN2,CLDN2,"CLDN2, NA, NA",NA,NA,CLDN2,False,CLDN2,CLDN2,,CLDN2,CLDN2,False,CLDN2
4484,CLDN20,CLDN20,"CLDN20, NA, NA",NA,NA,CLDN20,False,CLDN20,CLDN20,,CLDN20,CLDN20,False,CLDN20
4485,CLDN22,CLDN22,"CLDN22, NA, CLDN21",NA,CLDN21,CLDN22,False,CLDN22,CLDN22,,CLDN22,CLDN22,False,CLDN22
4486,CLDN23,CLDN23,"CLDN23, NA, CLDNL",NA,CLDNL,CLDN23,False,CLDN23,CLDN23,,CLDN23,CLDN23,False,CLDN23
4487,CLDN25,CLDN25,"CLDN25, NA, NA",NA,NA,CLDN25,False,CLDN25,CLDN25,,,,False,CLDN25
4489,CLDN3,CLDN3,"CLDN3, C7orf1, CPETR2, RVP1, CPE-R2, HRVP1","C7orf1, CPETR2","RVP1, CPE-R2, HRVP1",CLDN3,False,CLDN3,CLDN3,,CLDN3,CLDN3,False,CLDN3
4490,CLDN4,CLDN4,"CLDN4, CPETR, CPETR1, CPE-R, WBSCR8, hCPE-R","CPETR, CPETR1","CPE-R, WBSCR8, hCPE-R",CLDN4,False,CLDN4,CLDN4,,CLDN4,CLDN4,False,CLDN4
4491,CLDN5,CLDN5,"CLDN5, AWAL, TMVCF, CPETRL1, BEC1","AWAL, TMVCF","CPETRL1, BEC1",CLDN5,False,CLDN5,CLDN5,,CLDN5,CLDN5,False,CLDN5
4492,CLDN6,CLDN6,"CLDN6, NA, NA",NA,NA,CLDN6,False,CLDN6,CLDN6,,CLDN6,CLDN6,False,CLDN6
4493,CLDN7,CLDN7,"CLDN7, CEPTRL2, CPETRL2, Hs.84359","CEPTRL2, CPETRL2",Hs.84359,CLDN7,False,CLDN7,CLDN7,,CLDN7,CLDN7,False,CLDN7
4494,CLDN8,CLDN8,"CLDN8, NA, NA",NA,NA,CLDN8,False,CLDN8,CLDN8,,CLDN8,CLDN8,False,CLDN8
4495,CLDN9,CLDN9,"CLDN9, NA, NA",NA,NA,CLDN9,False,CLDN9,CLDN9,,CLDN9,CLDN9,False,CLDN9
